PLAYER,TEAM,CLAUSE,EXPIRY,AGE,POS,,GP,G,A,P,+/-,TOI,W,L,SO,GAA,Sv%,,SALARY,CAP HIT ▾
120. Kevin Bieksa,Tampa Bay Lightning,NTC,UFA,36,D,,60,4,10,14,0,20:49,-,-,-,-,-,,"$4,000,000","$4,600,000"
121. R.J. Umberger,Boston Bruins,"M-NTC, NMC",UFA,35,C,,67,9,6,15,-9,13:49,-,-,-,-,-,,"$4,500,000","$4,600,000"
122. Tyler Ennis,Ottawa Senators,,UFA,27,"C, LW, RW",,78,20,26,46,-19,19:06,-,-,-,-,-,,"$7,300,000","$4,600,000"
123. Tomas Fleischmann,Dallas Stars,"M-NTC, NMC",UFA,33,LW,,66,8,19,27,12,14:10,-,-,-,-,-,,"$4,500,000","$4,500,000"
124. Anton Stralman,Montreal Canadiens,NTC,UFA,30,D,,82,9,30,39,22,21:56,-,-,-,-,-,,"$4,500,000","$4,500,000"
125. Braydon Coburn,Boston Bruins,M-NTC,UFA,32,D,,43,1,10,11,2,20:14,-,-,-,-,-,,"$4,500,000","$4,500,000"
126. Teddy Purcell,New York Islanders,,UFA,31,"RW, LW",,82,12,22,34,-33,17:09,-,-,-,-,-,,"$4,500,000","$4,500,000"
127. Fedor Tyutin,New York Islanders,"M-NTC, NMC",UFA,34,D,,67,3,12,15,8,19:55,-,-,-,-,-,,"$4,750,000","$4,500,000"
128. Brooks Laich,Calgary Flames,M-NTC,UFA,34,"C, LW",,66,7,13,20,-2,14:43,-,-,-,-,-,,"$4,500,000","$4,500,000"
129. David Backes,Columbus Blue Jackets,NTC,UFA,33,"C, RW",,80,26,32,58,7,18:38,-,-,-,-,-,,"$4,750,000","$4,500,000"
130. Alexandre Burrows,Winnipeg Jets,NTC,UFA,36,"RW, LW",,70,18,15,33,0,15:28,-,-,-,-,-,,"$5,000,000","$4,500,000"
131. Dan Hamhuis,Toronto Maple Leafs,NTC,UFA,34,D,,59,1,22,23,0,21:31,-,-,-,-,-,,"$4,250,000","$4,500,000"
132. Max Pacioretty,Pittsburgh Penguins,,UFA,28,LW,,80,37,30,67,38,19:23,-,-,-,-,-,,"$4,000,000","$4,500,000"
133. Brad Marchand,New York Rangers,,UFA,29,LW,,77,24,18,42,5,16:54,-,-,-,-,-,,"$4,500,000","$4,500,000"
134. Jaroslav Halak,Philadelphia Flyers,,UFA,32,G,,59,-,-,-,-,-,38,17,6,2.43,.914,,"$3,500,000","$4,500,000"
135. Erik Cole,San Jose Sharks,NTC,UFA,38,LW,,68,21,18,39,2,14:31,-,-,-,-,-,,"$4,000,000","$4,500,000"
136. Andrew Ladd,Vancouver Canucks,M-NTC,UFA,31,LW,,81,24,38,62,9,20:04,-,-,-,-,-,,"$4,500,000","$4,400,000"
137. Kris Versteeg,Detroit Red Wings,,UFA,31,"LW, RW",,61,14,20,34,11,15:50,-,-,-,-,-,,"$4,700,000","$4,400,000"
138. Jack Johnson,Minnesota Wild,,UFA,30,D,,79,8,32,40,-13,24:09,-,-,-,-,-,,"$5,000,000","$4,357,143"
139. Dmitry Kulikov,Toronto Maple Leafs,,UFA,26,D,,73,3,19,22,0,21:18,-,-,-,-,-,,"$4,000,000","$4,333,333"
140. James Van Riemsdyk,Columbus Blue Jackets,,UFA,28,LW,,82,27,29,56,-33,19:05,-,-,-,-,-,,"$4,500,000","$4,250,000"
141. Patric Hornqvist,New York Islanders,M-NTC,UFA,30,RW,,64,25,26,51,12,17:39,-,-,-,-,-,,"$4,000,000","$4,250,000"
142. Kevin Shattenkirk,Washington Capitals,,UFA,28,D,,56,8,36,44,19,22:33,-,-,-,-,-,,"$4,200,000","$4,250,000"
143. Jakub Voracek,Minnesota Wild,,UFA,27,RW,,82,22,59,81,1,18:35,-,-,-,-,-,,"$4,500,000","$4,250,000"
144. Marc-Edouard Vlasic,Arizona Coyotes,NTC,UFA,30,D,,70,9,14,23,12,22:06,-,-,-,-,-,,"$4,250,000","$4,250,000"
145. Loui Eriksson,Winnipeg Jets,NTC,UFA,32,"RW, LW",,81,22,25,47,1,18:28,-,-,-,-,-,,"$4,500,000","$4,250,000"
146. Brian Gionta,Nashville Predators,NTC,UFA,38,RW,,69,13,22,35,-13,18:03,-,-,-,-,-,,"$5,250,000","$4,250,000"
147. Jonathan Ericsson,Toronto Maple Leafs,NTC,UFA,33,D,,82,3,12,15,-5,19:34,-,-,-,-,-,,"$4,250,000","$4,250,000"
148. Kyle Quincey,Calgary Flames,,UFA,31,D,,73,3,15,18,10,19:28,-,-,-,-,-,,"$4,250,000","$4,250,000"
149. Tyler Bozak,Anaheim Ducks,M-NTC,UFA,31,C,,82,23,26,49,-34,19:08,-,-,-,-,-,,"$4,000,000","$4,200,000"
150. Brandon Dubinsky,Tampa Bay Lightning,,UFA,31,"C, LW",,47,13,23,36,11,18:03,-,-,-,-,-,,"$4,650,000","$4,200,000"
151. Mike Fisher,Montreal Canadiens,NMC,UFA,37,C,,59,19,20,39,4,18:26,-,-,-,-,-,,"$4,200,000","$4,200,000"
152. Nikolai Kulemin,Nashville Predators,,UFA,31,"LW, RW",,82,15,16,31,7,14:52,-,-,-,-,-,,"$3,000,000","$4,187,500"
153. T.J. Oshie,Edmonton Oilers,,UFA,30,RW,,72,19,36,55,17,18:50,-,-,-,-,-,,"$4,500,000","$4,175,000"
154. Chris Stewart,Nashville Predators,,UFA,29,"RW, LW",,81,14,22,36,-26,16:00,-,-,-,-,-,,"$4,200,000","$4,150,000"
155. Niklas Hjalmarsson,New York Islanders,"M-NTC, NMC",UFA,30,D,,82,3,16,19,25,21:53,-,-,-,-,-,,"$4,200,000","$4,100,000"
156. Steve Mason,New Jersey Devils,,UFA,29,G,,51,-,-,-,-,-,18,18,3,2.25,.928,,"$4,100,000","$4,100,000"
157. Alexei Emelin,New Jersey Devils,NTC,UFA,31,D,,68,3,11,14,5,19:49,-,-,-,-,-,,"$3,900,000","$4,100,000"
158. Jake Gardiner,New York Rangers,,UFA,27,D,,79,4,20,24,-23,20:58,-,-,-,-,-,,"$4,050,000","$4,050,000"
159. Mark Giordano,Philadelphia Flyers,NTC,UFA,33,D,,61,11,37,48,13,25:10,-,-,-,-,-,,"$4,000,000","$4,020,000"
160. Cam Fowler,Washington Capitals,,UFA,25,D,,80,7,27,34,4,21:08,-,-,-,-,-,,"$4,000,000","$4,000,000"
161. Milan Michalek,Detroit Red Wings,M-NTC,UFA,32,"LW, RW",,66,13,21,34,3,16:22,-,-,-,-,-,,"$4,000,000","$4,000,000"
162. Zbynek Michalek,New York Rangers,M-NTC,UFA,34,D,,68,4,8,12,-3,21:05,-,-,-,-,-,,"$4,000,000","$4,000,000"
163. Drew Stafford,Buffalo Sabres,,UFA,31,"RW, LW",,76,18,25,43,-12,15:58,-,-,-,-,-,,"$4,000,000","$4,000,000"
164. Victor Hedman,Calgary Flames,,UFA,26,D,,59,10,28,38,12,22:41,-,-,-,-,-,,"$4,000,000","$4,000,000"
165. Ales Hemsky,Tampa Bay Lightning,,UFA,33,RW,,76,11,21,32,-8,13:38,-,-,-,-,-,,"$4,000,000","$4,000,000"
166. David Jones,Carolina Hurricanes,,UFA,32,RW,,67,14,16,30,-3,14:20,-,-,-,-,-,,"$4,000,000","$4,000,000"
167. Jiri Hudler,Vegas Golden Knights,,UFA,33,"LW, RW",,78,31,45,76,17,18:00,-,-,-,-,-,,"$4,000,000","$4,000,000"
168. Ryan Johansen,Pittsburgh Penguins,,RFA,24,"C, RW",,82,26,45,71,-6,19:30,-,-,-,-,-,,"$3,000,000","$4,000,000"
169. Jussi Jokinen,Anaheim Ducks,M-NTC,UFA,34,"LW, RW, C",,81,8,36,44,-2,16:44,-,-,-,-,-,,"$4,000,000","$4,000,000"
170. Roman Josi,Colorado Avalanche,,UFA,27,D,,81,15,40,55,15,26:28,-,-,-,-,-,,"$3,000,000","$4,000,000"
171. Pierre-Alexandre Parenteau,St. Louis Blues,,UFA,34,RW,,56,8,14,22,0,14:59,-,-,-,-,-,,"$4,000,000","$4,000,000"
172. Dennis Seidenberg,Pittsburgh Penguins,NTC,UFA,36,D,,82,3,11,14,-1,22:06,-,-,-,-,-,,"$4,000,000","$4,000,000"
173. Adam Henrique,Calgary Flames,,UFA,27,C,,75,16,27,43,-6,17:44,-,-,-,-,-,,"$3,000,000","$4,000,000"
174. Cory Schneider,Edmonton Oilers,,UFA,31,G,,69,-,-,-,-,-,26,31,5,2.26,.925,,"$4,500,000","$4,000,000"
175. Marc Staal,Philadelphia Flyers,,UFA,30,D,,80,5,15,20,18,21:08,-,-,-,-,-,,"$5,450,000","$3,975,000"
176. Wayne Simmonds,Arizona Coyotes,,UFA,28,"RW, LW",,75,28,22,50,-5,16:48,-,-,-,-,-,,"$3,200,000","$3,975,000"
177. John Carlson,Ottawa Senators,,UFA,27,D,,82,12,43,55,11,23:04,-,-,-,-,-,,"$4,000,000","$3,966,667"
178. Johan Franzen,New York Rangers,,UFA,37,"RW, LW",,33,7,15,22,-12,16:03,-,-,-,-,-,,"$5,000,000","$3,954,545"
179. Ondrej Pavelec,Washington Capitals,,UFA,29,G,,50,-,-,-,-,-,22,16,5,2.28,.920,,"$3,750,000","$3,900,000"
180. Josh Gorges,New York Rangers,M-NTC,UFA,32,D,,46,0,6,6,-28,22:21,-,-,-,-,-,,"$3,900,000","$3,900,000"
181. Eric Brewer,Florida Panthers,M-NTC,UFA,38,D,,44,3,8,11,-5,17:15,-,-,-,-,-,,"$3,750,000","$3,875,000"
