Rank,LastName,FirstName,Team,Pos,GP,TOI,GF,GA,GF60,GA60,GF%,TM GF60,TM GA60,TM GF%,GF60 RelTM,GA60 RelTM,GF% RelTM,GF60 Rel,GA60 Rel,GF% Rel,Opp GF60,Opp GA60,Opp GF%,SF,SA,Sh%,Sv%,PDO,TM Sh%,TM Sv%,Sh% RelTM,Sv% RelTM,Sh% Rel,Sv% Rel,Opp Sh%,Opp Sv%,CF,CA,CF60,CA60,CF%,CF60 RelTM,CA60 RelTM,CF% RelTM,CF60 Rel,CA60 Rel,CF% Rel,Opp CF60,Opp CA60,Opp CF%,CSh%,CSv%,CPDO,TM CSh%,TM CSv%,CSh% RelTM,CSv% RelTM,CSh% Rel,CSv% Rel,Opp CSh%,Opp CSv%,%ofTeam TOI,%ofTeam GF,%ofTeam GA,%ofTeam CF,%ofTeam CA,%ofTeam OZFO,%ofTeam DZFO,%ofTeam NZFO,G,A,FirstA,Pts,Pri. Pts,Shots,iCorsi,iSh%,iCSh%,Goals per60,Assists per60,FirstA per60,Points per60,Pri.Pts  per60,Shots per60,iCorsi per60,IGP,IAP,IPP,IPPP,TotFO,NZFO,DZFO,OZFO,NZFO%,DZFO%,OZFO%
197,CONNOLLY, BRETT,Boston,F(RW),137,1490.65,59,61,2.375,2.455,49.17,2.3485,2.0027,53.97,0.0263,0.4526,-4.81,-0.0957,0.3548,-4.88,2.2082,2.2013,50.08,770,697,7.6623,91.2482,98.9105,7.6801,92.8122,-0.0177,-1.564,-0.3703,-1.3413,7.6267,92.3927,1397,1262,56.231,50.797,52.54,-0.0868,-1.196,0.54,0.9017,-2.4675,1.59,54.1775,54.14,50.02,4.2233,95.1664,99.3897,4.17,96.1481,0.0533,-0.9817,-0.2417,-0.8901,4.0758,95.9341,22.8696,22.1805,25.7384,23.156,22.0437,23.5745,25.9105,25.7005,16,17,10,33,26,162,277,9.87654321,5.776173285,0.644,0.6843,0.4025,1.3283,1.0465,6.5206,11.1495,27.12,28.81,55.93,44.07,1577,587,498,492,37.2226,31.5789,31.1985
198,ZETTERBERG, HENRIK,Detroit,F(LW),204,3023.95,121,105,2.401,2.083,53.54,2.1622,2.2035,49.53,0.2386,-0.1202,4.01,0.3991,0.0174,4.33,2.2948,2.2133,50.9,1521,1440,7.9553,92.7083,100.6636,7.6947,92.1056,0.2606,0.6027,0.8265,0.0733,7.7912,92.3985,2696,2438,53.493,48.374,52.51,0.9999,0.3175,0.31,1.3201,0.1768,0.53,55.2984,54.4896,50.37,4.4881,95.6932,100.1813,4.119,95.4147,0.3691,0.2785,0.6515,-0.0203,4.1498,95.9381,31.6366,35.6932,31.8182,32.1795,31.7159,34.3629,28.9653,33.1917,29,49,33,78,62,397,686,7.304785894,4.227405248,0.5754,0.9722,0.6548,1.5476,1.2302,7.8771,13.6113,23.97,40.5,64.46,51.24,2929,1094,767,1068,37.3506,26.1864,36.463
199,BYFUGLIEN, DUSTIN,Winnipeg,D,228,3904.77,166,172,2.551,2.643,49.11,2.1279,2.0263,51.22,0.4229,0.6166,-2.11,0.4523,0.6065,-1.64,2.2662,2.1971,50.77,2077,1856,7.9923,90.7328,98.7251,7.4998,92.8388,0.4925,-2.106,0.5791,-2.0071,7.744,92.354,3815,3451,58.621,53.027,52.5,4.3255,-0.5273,2.16,4.371,0.0352,1.92,54.9278,54.0083,50.42,4.3512,95.0159,99.3671,3.9191,96.2163,0.4322,-1.2004,0.4831,-1.1411,4.1259,95.9318,36.5573,41.1911,42.7861,38.3726,36.5727,36.644,37.3522,33.1746,36,41,20,77,56,433,827,8.31408776,4.353083434,0.5532,0.63,0.3073,1.1832,0.8605,6.6534,12.7075,21.69,24.7,46.39,33.73,3579,1254,1137,1188,35.0377,31.7687,33.1936
200,STONE, MARK,Ottawa,F(RW),174,2338.58,110,89,2.822,2.283,55.28,2.2849,2.3433,49.37,0.5373,-0.0599,5.91,0.71,0.0505,6.67,2.2531,2.1981,50.62,1227,1191,8.965,92.5273,101.4923,7.6867,92.8593,1.2783,-0.332,1.3755,-0.52,7.7279,92.382,2369,2143,60.78,54.982,52.5,4.7899,-2.3526,3.1,7.6425,-1.8775,4.2,54.5511,53.9898,50.26,4.6433,95.8469,100.4902,4.0809,95.9129,0.5624,-0.0659,0.6683,-0.2259,4.1303,95.9287,28.1628,34.375,28.6174,30.9592,27.4885,29.6716,28.2712,26.779,33,51,30,84,63,241,437,13.69294606,7.551487414,0.8467,1.3085,0.7697,2.1552,1.6164,6.1832,11.2119,30,46.36,76.36,57.27,2251,779,713,759,34.6068,31.6748,33.7183
201,GETZLAF, RYAN,Anaheim,F(C),231,3272.73,165,117,3.025,2.145,58.51,2.2959,2.1545,51.59,0.7291,-0.0095,6.92,0.8047,0.011,7.52,2.2052,2.2118,49.93,1646,1405,10.0243,91.6726,101.6969,7.8554,92.5655,2.1689,-0.8929,2.4168,-0.6912,7.5664,92.3166,3122,2826,57.237,51.81,52.49,3.1519,-2.8495,2.75,2.0509,-1.2104,1.49,54.8388,54.2247,50.28,5.2851,95.8599,101.145,4.245,96.0584,1.0401,-0.1985,1.2618,-0.1153,4.0212,95.921,29.9691,36.8304,30.0771,30.7404,29.4866,31.5208,31.2666,28.8652,44,88,53,132,97,373,689,11.79624665,6.386066763,0.8067,1.6133,0.9717,2.42,1.7783,6.8383,12.6316,26.67,53.33,80,58.79,3252,1109,1059,1084,34.1021,32.5646,33.3333
202,PARISE, ZACH,Minnesota,F(LW),211,3021.05,120,90,2.383,1.787,57.14,2.2904,2.1386,51.71,0.0929,-0.3511,5.43,0.2347,-0.2168,5.4,2.2732,2.2118,50.69,1637,1352,7.3305,93.3432,100.6737,8.5537,92.1546,-1.2232,1.1886,-1.1029,0.7974,7.7347,92.3197,2984,2701,59.264,53.644,52.49,9.1506,1.3068,3.57,11.7319,1.2112,4.94,55.0741,54.1088,50.44,4.0214,96.6679,100.6893,4.5704,95.9138,-0.5489,0.7541,-0.4988,0.4904,4.1276,95.9124,29.9525,32.1716,27.6074,34.7745,30.4338,37.8299,23.0319,32.3691,42,47,24,89,66,471,767,8.917197452,5.475880052,0.8341,0.9335,0.4767,1.7676,1.3108,9.3544,15.2331,35,39.17,74.17,55,2988,1119,708,1161,37.4498,23.6948,38.8554
203,REGEHR, ROBYN,Los Angeles,D,146,2331.03,74,71,1.905,1.828,51.03,2.1754,1.8141,54.53,-0.2706,0.0134,-3.49,-0.3592,0.1954,-7.07,2.2163,2.2399,49.74,1165,1107,6.3519,93.5863,99.9382,6.9721,92.8962,-0.6201,0.6901,-0.878,0.3622,7.6826,92.27,2169,1965,55.829,50.578,52.47,-5.495,2.7364,-3.71,-6.1514,5.1821,-5.26,54.2093,54.6549,49.8,3.4117,96.3868,99.7985,3.5473,96.2081,-0.1356,0.1787,-0.2409,-0.018,4.0885,95.9017,33.8343,30.0813,36.4103,31.5353,36.2948,31.2859,37.4275,35.173,4,19,8,23,12,124,270,3.225806452,1.481481481,0.103,0.4891,0.2059,0.592,0.3089,3.1917,6.9497,5.41,25.68,31.08,16.22,2221,803,710,708,36.1549,31.9676,31.8775
204,NOSEK, TOMAS,Detroit,F(LW),6,51.4167,0,2,0,2.334,0,2.0291,2.0465,49.79,-2.0291,0.2873,-49.79,-1.7905,0.7991,-53.85,1.881,2.0716,47.59,15,16,0,87.5,87.5,7.229,92.7567,-7.229,-5.2567,-6.25,-7.7381,6.9423,92.6064,32,29,37.342,33.841,52.46,-13.8745,-15.1595,1.35,-16.8857,-18.0844,1.37,50.2828,52.7785,48.79,0,93.1034,93.1034,3.9618,95.8235,-3.9618,-2.72,-3.3019,-3.9409,3.7409,96.0749,17.9789,0,25,13.1148,12.5,14.6067,11.8421,16.092,0,0,0,0,0,2,4,0,0,0,0,0,0,0,2.3339,4.6677,0,0,0,0,36,14,9,13,38.8889,25,36.1111
205,OSHIE, TJ,Washington,F(RW),231,3218.48,154,103,2.871,1.92,59.92,2.2292,2.0885,51.63,0.6417,-0.1683,8.29,0.5051,-0.1374,6.44,2.2975,2.2155,50.91,1641,1385,9.3845,92.5632,101.9477,7.4551,92.5444,1.9294,0.0187,1.3437,0.2092,7.777,92.3485,3110,2823,57.978,52.627,52.42,1.9587,-0.2486,0.98,3.2009,1.3723,0.76,55.4078,54.2686,50.52,4.9518,96.3514,101.3032,3.9793,96.0503,0.9724,0.3011,0.6327,0.3658,4.1465,95.9176,29.2476,33.4056,27.8378,30.4365,29.7973,29.5554,34.1705,33.3245,37,71,43,108,80,355,629,10.42253521,5.882352941,0.6898,1.3236,0.8016,2.0134,1.4914,6.618,11.726,24.03,46.1,70.13,51.95,3383,1264,1102,1017,37.3633,32.5746,30.0621
206,PLOTNIKOV, SERGEI,Arizona,F(LW),45,432.333,7,10,0.971,1.388,41.18,2.1635,2.1349,50.33,-1.192,-0.7471,-9.16,-0.8539,-0.545,-7.39,2.1863,2.25,49.28,204,197,3.4314,94.9239,98.3553,7.4415,92.6049,-4.0101,2.319,-2.3119,1.1308,7.5129,92.1967,390,354,54.125,49.129,52.42,0.6484,-5.4495,2.93,-2.8924,-8.6044,2.73,54.6658,54.4082,50.12,1.7949,97.1751,98.97,4.0457,96.0884,-2.2508,1.0868,-1.4066,0.5229,3.9993,95.8645,20.5027,12.069,15.625,19.6672,17.9969,15.9254,20.6847,21.4681,0,3,2,3,2,40,76,0,0,0,0.4163,0.2776,0.4163,0.2776,5.5513,10.5474,0,42.86,42.86,28.57,411,155,145,111,37.7129,35.2798,27.0073
207,LEHTERA, JORI,St. Louis,F(C),154,1933.17,97,58,3.011,1.8,62.58,2.3388,2.0007,53.9,0.6718,-0.2006,8.69,0.9244,-0.1751,11.21,2.2805,2.2242,50.63,978,859,9.9182,93.248,103.1662,7.6323,92.6555,2.2859,0.5925,2.9397,0.5401,7.786,92.3084,1795,1630,55.712,50.591,52.41,-1.6611,-0.6047,-0.44,1.1365,-0.6666,0.84,55.0303,54.3611,50.31,5.4039,96.4417,101.8456,4.0765,96.092,1.3274,0.3497,1.5812,0.2954,4.1441,95.9085,26.3374,34.0351,24.5763,26.7392,26.0842,31.1015,21.896,25.0696,18,38,23,56,41,145,247,12.4137931,7.287449393,0.5587,1.1794,0.7139,1.7381,1.2725,4.5004,7.6662,18.56,39.18,57.73,42.27,1872,630,522,720,33.6538,27.8846,38.4615
208,STAMKOS, STEVEN,Tampa Bay,F(C),196,2811.6,133,107,2.838,2.283,55.42,2.3887,1.9851,54.61,0.4496,0.2983,0.8,0.5075,0.3301,1.01,2.2306,2.2132,50.2,1394,1349,9.5409,92.0682,101.6091,7.9029,92.7007,1.638,-0.6325,1.6344,-0.4858,7.686,92.3969,2713,2465,57.896,52.604,52.39,2.2508,1.3868,0.32,3.8635,3.1761,0.17,54.3264,54.2655,50.03,4.9023,95.6592,100.5615,4.2927,96.1242,0.6096,-0.4649,0.5887,-0.3889,4.1059,95.9216,30.6608,35,34.0764,32.1484,32.0005,37.0962,32.6299,28.1813,56,40,31,96,87,359,676,15.59888579,8.284023669,1.195,0.8536,0.6615,2.0487,1.8566,7.6611,14.426,42.11,30.08,72.18,65.41,2757,908,804,1045,32.9343,29.1621,37.9035
209,NIEDERREITER, NINO,Minnesota,F(RW),243,3039.43,125,100,2.468,1.974,55.56,2.1585,2.0458,51.34,0.3091,-0.0718,4.22,0.3527,-0.0074,3.93,2.2492,2.2272,50.25,1474,1295,8.4803,92.278,100.7583,7.9929,92.586,0.4875,-0.308,0.6213,-0.541,7.6976,92.2893,2714,2466,53.576,48.68,52.39,3.0506,-5.5715,4.17,3.331,-5.8647,4.45,54.9198,54.2543,50.3,4.6057,95.9448,100.5505,4.2721,96.229,0.3336,-0.2841,0.3965,-0.4225,4.0954,95.8949,26.2499,29.3427,26.178,27.5114,24.1079,24.7376,24.6991,27.025,40,44,24,84,64,367,631,10.89918256,6.339144216,0.7896,0.8686,0.4738,1.6582,1.2634,7.2448,12.4563,32,35.2,67.2,51.2,2805,1071,862,872,38.1818,30.7308,31.0873
210,EKBLAD, AARON,Florida,D,159,2720.27,115,86,2.537,1.897,57.21,2.2311,2.236,49.95,0.3054,-0.3391,7.27,0.299,-0.1293,4.74,2.1904,2.1836,50.08,1387,1204,8.2913,92.8571,101.1484,7.6961,92.2298,0.5952,0.6274,0.4276,-0.2623,7.5972,92.4508,2358,2143,52.01,47.267,52.39,-0.2251,-4.2489,2.04,1.2427,-5.7743,3.48,54.1719,54.1814,50,4.877,95.9869,100.8639,4.2714,95.6597,0.6057,0.3272,0.4696,-0.1931,4.0434,95.9698,36.0442,38.983,34.5382,36.6035,33.4321,41.2262,29.1023,34.9046,15,30,14,45,29,234,437,6.41025641,3.432494279,0.3308,0.6617,0.3088,0.9925,0.6396,5.1613,9.6388,13.04,26.09,39.13,25.22,2605,933,697,975,35.8157,26.7562,37.428
211,KENNEDY, TYLER,New Jersey,F(C),155,1784.85,54,76,1.815,2.555,41.54,2.0493,2.1022,49.36,-0.234,0.4527,-7.82,-0.2474,0.4075,-7.46,2.153,2.179,49.7,885,811,6.1017,90.6289,96.7306,7.3336,92.4258,-1.2319,-1.797,-0.8775,-1.7165,7.4971,92.4088,1711,1556,57.517,52.307,52.37,4.2299,-0.4214,2.11,1.4331,-1.2282,1.21,53.8786,53.9232,49.98,3.156,95.1157,98.2717,3.8457,96.0132,-0.6896,-0.8975,-0.5218,-0.8733,3.996,95.959,23.9352,21.6867,27.2401,24.3975,23.5152,23.0531,23.4604,22.4952,11,26,19,37,30,272,495,4.044117647,2.222222222,0.3698,0.874,0.6387,1.2438,1.0085,9.1436,16.6401,20.37,48.15,68.52,55.56,1667,586,560,521,35.153,33.5933,31.2537
212,WITKOWSKI, LUKE,Tampa Bay,D,20,254.533,10,9,2.357,2.122,52.63,2.4701,1.9996,55.26,-0.1129,0.1219,-2.63,-0.1699,0.2916,-5.37,2.2152,2.145,50.8,129,107,7.7519,91.5888,99.3407,8.2846,92.6254,-0.5326,-1.0366,-0.8279,-2.4112,7.542,92.4136,232,211,54.688,49.738,52.37,-1.0046,-1.2045,0.14,-0.6467,-6.1198,2.61,55.2507,53.0538,51.01,4.3103,95.7346,100.0449,4.4353,96.0747,-0.1249,-0.3401,-0.2566,-0.9893,4.0093,95.9569,26.99,25.641,30,26.7589,24.7653,27.0073,28.0576,24.1722,0,0,0,0,0,10,31,0,0,0,0,0,0,0,2.3573,7.3075,0,0,0,0,225,73,78,74,32.4444,34.6667,32.8889
213,GREBESHKOV, DENIS,Edmonton,D,7,83.7333,4,4,2.866,2.866,50,2.0627,2.5909,44.33,0.8035,0.2754,5.67,1.2563,-0.3536,16.67,2.0458,2.3116,46.95,40,42,10,90.4762,100.4762,7.6152,91.5897,2.3848,-1.1135,4.7826,0.6457,7.258,92.2979,78,71,55.892,50.876,52.35,3.9257,-7.5199,5.26,3.0334,-4.6657,3.59,53.0655,55.835,48.73,5.1282,94.3662,99.4944,3.9693,95.5633,1.1589,-1.1971,2.0825,0.1633,3.8552,95.8599,27.2436,40,25,28.3636,25.5396,32.9268,28.2353,24.2991,0,1,0,1,0,3,5,0,0,0,0.7166,0,0.7166,0,2.1497,3.5828,0,25,25,0,77,26,24,27,33.7662,31.1688,35.0649
214,DEMELO, DYLAN,San Jose,D,45,550.933,14,15,1.525,1.634,48.28,2.2894,2.1609,51.44,-0.7647,-0.5273,-3.17,-1.0209,-0.6168,-4.8,2.074,2.1754,48.81,254,206,5.5118,92.7184,98.2302,7.6808,92.1503,-2.169,0.5681,-2.9028,1.1555,7.3071,92.4139,472,430,51.404,46.83,52.33,-6.1992,-6.7913,0.54,-6.7382,-5.594,-0.26,53.4964,54.3693,49.6,2.9661,96.5116,99.4777,3.9744,95.97,-1.0083,0.5416,-1.4121,0.8044,3.8769,95.9988,25.3035,16.8675,19.7368,23.0469,23.2307,28.0645,22.3114,26.7252,0,0,0,0,0,33,80,0,0,0,0,0,0,0,3.5939,8.7125,0,0,0,0,526,213,139,174,40.4943,26.4259,33.0798
215,CORVO, JOE,Ottawa,D,25,366.483,13,17,2.128,2.783,43.33,2.2656,2.4131,48.42,-0.1372,0.3701,-5.09,-0.2843,-0.1412,-1.87,2.0554,2.2139,48.14,207,194,6.2802,91.2371,97.5173,7.4942,92.5129,-1.214,-1.2758,-0.8627,0.1657,7.2921,92.3128,372,339,60.903,55.5,52.32,3.4236,-0.784,1.8,-1.5326,1.0337,-1.09,52.9974,53.5438,49.74,3.4946,94.9853,98.4799,3.9415,95.7127,-0.4469,-0.7274,-0.3695,0.3544,3.8784,95.8653,30.8704,28.2609,29.8246,30.3426,31.2731,30.4124,34.0058,32.0088,3,5,2,8,5,37,74,8.108108108,4.054054054,0.4912,0.8186,0.3274,1.3097,0.8186,6.0576,12.1151,23.08,38.46,61.54,38.46,381,145,118,118,38.0577,30.9711,30.9711
216,BRAUN, JUSTIN,San Jose,D,232,3949.43,152,134,2.309,2.036,53.15,2.2324,2.1948,50.42,0.0768,-0.1591,2.72,0.1098,-0.1056,2.48,2.2743,2.2201,50.6,1954,1701,7.7789,92.1223,99.9012,7.2881,92.168,0.4908,-0.0457,0.6341,-0.1532,7.7752,92.3272,3738,3407,56.788,51.759,52.32,-2.9368,-2.7338,0.03,-3.6173,-2.6203,-0.31,54.8618,54.3681,50.23,4.0663,96.0669,100.1332,3.7378,95.9723,0.3285,0.0946,0.4252,0.0046,4.1456,95.9165,35.3303,36.4508,34.1837,33.9325,34.2103,32.4566,39.4604,37.7739,6,49,21,55,27,279,623,2.150537634,0.963081862,0.0912,0.7444,0.319,0.8356,0.4102,4.2386,9.4646,3.95,32.24,36.18,17.76,4061,1534,1404,1123,37.7739,34.5728,27.6533
217,CLITSOME, GRANT,Winnipeg,D,56,844.2,29,36,2.061,2.559,44.62,2.2613,2.249,50.14,-0.2001,0.3096,-5.52,0.2058,0.5684,-3.63,2.2016,2.1929,50.1,420,422,6.9048,91.4692,98.374,7.5751,92.0421,-0.6703,-0.5729,0.539,-1.71,7.6822,92.3682,839,765,59.63,54.371,52.31,3.788,0.8889,1.23,6.6014,-1.0531,3.41,53.5349,53.894,49.83,3.4565,95.2941,98.7506,4.0494,95.7948,-0.5929,-0.5007,-0.0422,-1.1149,4.1124,95.931,32.1864,34.5238,37.8947,34.7988,31.7691,32.6087,30.7214,30.4447,2,11,5,13,7,43,116,4.651162791,1.724137931,0.1421,0.7818,0.3554,0.924,0.4975,3.0561,8.2445,6.9,37.93,44.83,24.14,769,267,247,255,34.7204,32.1196,33.1599
218,SILFVERBERG, JAKOB,Anaheim,F(RW),215,2652.6,101,95,2.285,2.149,51.53,2.3002,2.1793,51.35,-0.0157,-0.0305,0.18,-0.1617,0.0315,-2.07,2.2887,2.2275,50.68,1343,1207,7.5205,92.1292,99.6497,7.9058,92.2495,-0.3853,-0.1203,-0.94,-0.2274,7.7867,92.2743,2555,2329,57.792,52.68,52.31,3.1135,-1.109,1.9,2.5158,-0.4226,1.31,55.3463,54.1449,50.55,3.953,95.921,99.874,4.2068,95.9485,-0.2537,-0.0275,-0.4724,-0.0917,4.1352,95.8861,26.1765,24.8768,26.4624,27.0456,26.0223,23.9583,27.8338,27.3009,29,44,28,73,57,423,730,6.855791962,3.97260274,0.656,0.9952,0.6333,1.6512,1.2893,9.568,16.5121,28.71,43.56,72.28,56.44,2613,970,884,759,37.1221,33.8308,29.0471
219,LILES, JOHN-MICHAEL,Boston,D,179,2893.57,96,96,1.991,1.991,50,1.9533,2.3959,44.91,0.0374,-0.4052,5.09,-0.0227,-0.5133,5.43,2.2154,2.1932,50.25,1418,1287,6.7701,92.5408,99.3109,6.6025,91.7673,0.1676,0.7735,0.2252,1.3951,7.6574,92.4194,2709,2471,56.173,51.238,52.3,0.2249,-3.1937,1.61,-2.5215,-2.3261,0.01,54.1487,54.0643,50.04,3.5437,96.1149,99.6586,3.4912,95.5984,0.0525,0.5165,0.1135,0.7896,4.0912,95.9433,33.0153,32.7645,28.1525,32.0516,32.041,31.2767,32.3852,31.091,7,28,11,35,18,193,401,3.626943005,1.74563591,0.1451,0.5806,0.2281,0.7257,0.3732,4.002,8.315,7.29,29.17,36.46,18.75,2603,929,797,877,35.6896,30.6185,33.6919
220,POSTMA, PAUL,Winnipeg,D,88,1094.48,34,36,1.864,1.974,48.57,2.1937,2.2271,49.62,-0.3298,-0.2536,-1.05,-0.3322,-0.2426,-1.2,2.0534,2.1689,48.63,539,476,6.308,92.437,98.745,7.6699,92.1078,-1.3619,0.3292,-0.9913,0.5274,7.3126,92.4633,1001,913,54.875,50.051,52.3,0.9356,-3.086,1.92,-2.2239,-2.3364,0.15,52.8559,54.3915,49.28,3.3966,96.057,99.4536,4.067,95.8087,-0.6704,0.2482,-0.4496,0.2871,3.885,96.0125,26.6961,23.6111,24.4898,25.9259,25.8128,28.9819,24.066,26.7235,3,5,1,8,4,73,185,4.109589041,1.621621622,0.1645,0.2741,0.0548,0.4386,0.2193,4.0019,10.1418,8.82,14.71,23.53,11.76,1006,376,277,353,37.3757,27.5348,35.0895
221,FABBRI, ROBBY,St. Louis,F(C),72,832.983,36,34,2.593,2.449,51.43,2.3952,1.9133,55.59,0.1978,0.5358,-4.16,0.7586,0.7751,-0.86,2.2484,2.2318,50.19,447,411,8.0537,91.7275,99.7812,8.0658,92.9457,-0.0122,-1.2182,1.6893,-2.2295,7.7271,92.2881,805,735,57.984,52.942,52.27,2.8534,1.6475,0.47,4.8304,1.2559,1.57,54.6115,54.3095,50.14,4.472,95.3742,99.8462,4.3447,96.2701,0.1274,-0.8959,1.0208,-1.3872,4.117,95.8906,24.1477,31.0345,31.7757,25.7765,24.5902,23.3427,19.4908,21.3185,15,11,3,26,18,101,170,14.85148515,8.823529412,1.0805,0.7923,0.2161,1.8728,1.2965,7.2751,12.2451,41.67,30.56,72.22,50,721,249,222,250,34.5354,30.7906,34.6741
222,ORLOV, DMITRY,Washington,D,136,2179.6,92,83,2.533,2.285,52.57,2.2119,2.1012,51.28,0.3207,0.1836,1.29,0.3548,0.3012,0.24,2.118,2.1876,49.19,1051,1005,8.7536,91.7413,100.4949,7.7711,92.6627,0.9824,-0.9214,1.1137,-1.475,7.4219,92.4133,2021,1846,55.634,50.817,52.26,0.9907,-3.9782,2.33,2.271,-6.8187,4.19,53.4306,53.9203,49.77,4.5522,95.5038,100.056,4.0478,96.1654,0.5044,-0.6616,0.4711,-1.0546,3.9641,95.9429,33.5062,36.9478,36.7257,34.441,30.7615,33.7559,26.4048,29.7163,11,24,12,35,23,133,293,8.270676692,3.754266212,0.3028,0.6607,0.3303,0.9635,0.6331,3.6612,8.0657,11.96,26.09,38.04,25,1783,660,484,639,37.0163,27.1453,35.8385
223,POULIOT, BENOIT,Edmonton,F(LW),193,2340.65,102,97,2.615,2.486,51.26,2.2392,2.4859,47.39,0.3755,0.0006,3.87,0.7251,0.131,6.74,2.2228,2.1929,50.34,1194,1153,8.5427,91.5872,100.1299,7.7624,91.6908,0.7803,-0.1037,2.1653,-0.4814,7.6801,92.3807,2226,2035,57.061,52.165,52.24,3.2019,-4.5769,3.54,1.6511,-4.358,2.74,54.4458,54.0414,50.19,4.5822,95.2334,99.8156,4.1574,95.619,0.4248,-0.3856,1.1721,-0.5993,4.0826,95.9421,25.1828,31.7757,26.2162,25.7401,23.7014,27.9817,21.3447,26.54,27,47,24,74,51,268,440,10.07462687,6.136363636,0.6921,1.2048,0.6152,1.8969,1.3073,6.8699,11.2789,26.47,46.08,72.55,50,2259,866,600,793,38.3355,26.5604,35.104
224,TERAVAINEN, TEUVO,Chicago,F(LW),115,1383.8,37,36,1.604,1.561,50.68,2.2658,2.1635,51.16,-0.6615,-0.6025,-0.47,-0.612,-0.6271,0.36,2.2484,2.1733,50.85,710,632,5.2113,94.3038,99.5151,7.2913,92.5555,-2.08,1.7483,-2.0741,1.5131,7.7128,92.3897,1258,1150,54.545,49.863,52.24,-3.3293,-2.6866,-0.17,-2.2593,-4.4152,1.11,54.7972,53.8892,50.42,2.9412,96.8696,99.8108,3.915,95.883,-0.9738,0.9866,-0.9604,0.9008,4.1031,95.9671,24.5609,19.0722,18.8482,23.8167,23.023,21.9485,25.9167,24.9743,13,14,10,27,23,174,300,7.471264368,4.333333333,0.5637,0.607,0.4336,1.1707,0.9973,7.5444,13.0077,35.14,37.84,72.97,62.16,1294,485,417,392,37.4807,32.2257,30.2937
225,HORTON, NATHAN,Columbus,F(RW),35,454.917,20,19,2.638,2.506,51.28,2.2493,2.3728,48.66,0.3885,0.1331,2.62,0.3903,0.6159,-3.04,2.1836,2.1974,49.84,270,228,7.4074,91.6667,99.0741,7.7896,92.1339,-0.3822,-0.4672,-0.1919,-1.954,7.4591,92.3625,459,420,60.539,55.395,52.22,8.2058,0.5201,3.4,6.75,3.4962,1.32,55.0077,53.7544,50.58,4.3573,95.4762,99.8335,4.2981,95.6759,0.0592,-0.1997,0.1788,-0.8821,3.9696,95.9122,27.9173,31.25,33.9286,30.3571,29.2479,29.6223,26.3048,22.5455,2,11,6,13,8,44,78,4.545454545,2.564102564,0.2638,1.4508,0.7914,1.7146,1.0551,5.8033,10.2876,10,55,65,40,399,124,126,149,31.0777,31.5789,37.3434
226,RAU, KYLE,Florida,F(C),9,106.267,2,3,1.129,1.694,40,2.2953,2.113,52.07,-1.166,-0.4192,-12.07,-1.5751,-1.3968,-6.67,2.1979,2.1702,50.32,48,52,4.1667,94.2308,98.3975,7.867,92.5836,-3.7003,1.6472,-4.5833,6.0826,7.7249,92.5335,94,86,53.074,48.557,52.22,1.3014,-2.5613,1.9,-3.7162,1.2319,-2.32,53.3099,54.6825,49.36,2.1277,96.5116,98.6393,4.4333,95.8664,-2.3057,0.6452,-2.6342,3.0422,4.1228,96.0313,25.4907,12.5,15.7895,24.2268,25.9819,22.4806,22.9008,26.5306,0,0,0,0,0,15,28,0,0,0,0,0,0,0,8.4693,15.8093,0,0,0,0,98,39,30,29,39.7959,30.6122,29.5918
227,SEABROOK, BRENT,Chicago,D,245,4165.55,166,153,2.391,2.204,52.04,2.3028,2.0785,52.56,0.0883,0.1253,-0.52,0.0644,0.1951,-1.63,2.2227,2.2045,50.21,2331,2156,7.1214,92.9035,100.0249,7.4816,92.4753,-0.3602,0.4282,-0.4201,0.293,7.6848,92.3062,4189,3834,60.338,55.224,52.21,2.8241,4.8916,-1.12,3.4348,6.3408,-1.58,54.4273,54.1077,50.15,3.9628,96.0094,99.9722,4.0039,95.8705,-0.0411,0.1388,-0.1261,0.1185,4.0839,95.9257,34.9991,35.6223,37.1359,36.3439,37.8218,36.8787,35.7898,36.209,13,43,22,56,35,325,700,4,1.857142857,0.1873,0.6194,0.3169,0.8066,0.5041,4.6813,10.0827,7.83,25.9,33.73,21.08,4107,1490,1185,1432,36.2795,28.8532,34.8673
228,BACKES, DAVID,St. Louis,F(RW),233,3236.77,137,108,2.54,2.002,55.92,2.308,1.9697,53.95,0.2316,0.0323,1.96,0.2441,0.0661,1.67,2.2802,2.2159,50.71,1678,1431,8.1645,92.4528,100.6173,7.6982,92.7868,0.4663,-0.334,0.3642,-0.3103,7.7638,92.3404,3067,2807,56.853,52.033,52.21,0.8265,0.3774,0.18,1.9759,2.2522,-0.22,55.0695,54.3243,50.34,4.4669,96.1525,100.6194,4.1194,96.1868,0.3475,-0.0344,0.284,0.0412,4.1406,95.921,29.2172,31.3501,29.9169,29.9541,30.1407,28.0712,39.463,33.4729,35,64,35,99,70,381,632,9.186351706,5.537974684,0.6488,1.1864,0.6488,1.8352,1.2976,7.0626,11.7154,25.55,46.72,72.26,51.09,3640,1279,1367,994,35.1374,37.5549,27.3077
