PLAYER,TEAM,CLAUSE,EXPIRY,AGE,POS,,GP,G,A,P,+/-,TOI,W,L,SO,GAA,Sv%,,SALARY,CAP HIT ▾
26. Paul Stastny,St. Louis Blues,NTC,UFA,31,C,,64,10,39,49,3,19:09,-,-,-,-,-,,"$7,000,000","$7,000,000"
27. Henrik Sedin,Vancouver Canucks,NMC,UFA,36,C,,74,11,44,55,0,18:22,-,-,-,-,-,,"$7,000,000","$7,000,000"
28. Daniel Sedin,Vancouver Canucks,NMC,UFA,36,LW,,82,28,33,61,7,18:20,-,-,-,-,-,,"$7,000,000","$7,000,000"
29. Pekka Rinne,Nashville Predators,NMC,UFA,34,G,,66,-,-,-,-,-,34,21,4,2.48,.908,,"$7,000,000","$7,000,000"
30. Tuukka Rask,Boston Bruins,NMC,UFA,30,G,,64,-,-,-,-,-,31,22,4,2.56,.915,,"$7,500,000","$7,000,000"
31. Zdeno Chara,Boston Bruins,NMC,UFA,40,D,,80,9,28,37,12,24:05,-,-,-,-,-,,"$7,000,000","$6,916,667"
32. Patrice Bergeron,Boston Bruins,NMC,UFA,32,C,,80,32,36,68,12,19:50,-,-,-,-,-,,"$8,750,000","$6,875,000"
33. Anze Kopitar,Los Angeles Kings,NMC,UFA,29,C,,81,25,49,74,34,20:52,-,-,-,-,-,,"$7,700,000","$6,800,000"
34. Joe Thornton,San Jose Sharks,NMC,UFA,38,C,,82,19,63,82,25,18:21,-,-,-,-,-,,"$6,750,000","$6,750,000"
35. Mikko Koivu,Minnesota Wild,NMC,UFA,34,C,,82,17,39,56,6,19:55,-,-,-,-,-,,"$7,290,000","$6,750,000"
36. Nicklas Backstrom,Washington Capitals,,UFA,29,C,,75,20,50,70,17,19:10,-,-,-,-,-,,"$6,500,000","$6,700,000"
37. Patrick Marleau,Toronto Maple Leafs,NMC,UFA,37,"LW, C",,82,25,23,48,-22,19:01,-,-,-,-,-,,"$6,500,000","$6,666,667"
38. Erik Karlsson,Ottawa Senators,,UFA,27,D,,82,16,66,82,-2,28:58,-,-,-,-,-,,"$7,000,000","$6,500,000"
39. Derek Stepan,Arizona Coyotes,,UFA,27,C,,72,22,31,53,5,17:45,-,-,-,-,-,,"$8,000,000","$6,500,000"
40. Alex Pietrangelo,St. Louis Blues,,UFA,27,D,,73,7,30,37,10,26:18,-,-,-,-,-,,"$6,500,000","$6,500,000"
41. Carey Price,Montreal Canadiens,"M-NTC, NMC",UFA,29,G,,12,-,-,-,-,-,10,2,2,2.06,.934,,"$7,000,000","$6,500,000"
42. Thomas Vanek,Carolina Hurricanes,NMC,UFA,33,"LW, RW",,74,18,23,41,-10,15:36,-,-,-,-,-,,"$6,500,000","$6,500,000"
43. Cam Ward,Washington Capitals,NTC,UFA,33,G,,52,-,-,-,-,-,23,17,1,2.41,.909,,"$6,800,000","$6,300,000"
44. Braden Holtby,Detroit Red Wings,,UFA,27,G,,66,-,-,-,-,-,48,9,3,2.20,.922,,"$6,500,000","$6,100,000"
45. Henrik Zetterberg,New Jersey Devils,,UFA,36,"LW, C",,82,13,37,50,-15,19:24,-,-,-,-,-,,"$7,500,000","$6,083,333"
46. Taylor Hall,New York Islanders,,UFA,25,"LW, C",,82,26,39,65,-4,19:12,-,-,-,-,-,,"$6,000,000","$6,000,000"
47. Jordan Eberle,Edmonton Oilers,,UFA,27,RW,,69,25,22,47,-12,17:51,-,-,-,-,-,,"$6,000,000","$6,000,000"
48. Ryan Nugent-Hopkins,Chicago Blackhawks,,UFA,24,C,,55,12,22,34,-9,19:03,-,-,-,-,-,,"$6,000,000","$6,000,000"
49. Brandon Saad,Chicago Blackhawks,,UFA,24,"LW, RW",,78,31,22,53,1,17:13,-,-,-,-,-,,"$4,000,000","$6,000,000"
50. Corey Crawford,Detroit Red Wings,"M-NTC, NMC",UFA,32,G,,58,-,-,-,-,-,35,18,7,2.37,.924,,"$6,500,000","$6,000,000"
51. Mike Green,Anaheim Ducks,NTC,UFA,31,D,,74,7,28,35,-6,19:46,-,-,-,-,-,,"$6,000,000","$6,000,000"
52. Ryan Miller,Colorado Avalanche,M-NTC,UFA,37,G,,51,-,-,-,-,-,17,24,1,2.70,.916,,"$6,000,000","$6,000,000"
53. Matt Duchene,Buffalo Sabres,,UFA,26,"C, LW",,76,30,29,59,-8,18:35,-,-,-,-,-,,"$6,000,000","$6,000,000"
54. Ryan O'Reilly,San Jose Sharks,,UFA,26,"C, LW, RW",,71,21,39,60,-16,21:44,-,-,-,-,-,,"$6,200,000","$6,000,000"
55. Joe Pavelski,San Jose Sharks,M-NTC,UFA,33,"C, RW",,82,38,40,78,25,19:48,-,-,-,-,-,,"$6,000,000","$6,000,000"
56. Logan Couture,Carolina Hurricanes,,UFA,28,"C, LW",,52,15,21,36,2,17:23,-,-,-,-,-,,"$6,000,000","$6,000,000"
57. Jordan Staal,Edmonton Oilers,NMC,UFA,28,"C, LW",,82,20,28,48,6,18:18,-,-,-,-,-,,"$6,000,000","$6,000,000"
58. Milan Lucic,New York Islanders,M-NTC,UFA,29,LW,,81,20,35,55,26,17:14,-,-,-,-,-,,"$6,500,000","$6,000,000"
59. Johnny Boychuk,New Jersey Devils,NMC,UFA,33,D,,70,9,16,25,17,21:22,-,-,-,-,-,,"$7,500,000","$6,000,000"
60. Cory Schneider,Dallas Stars,NTC,UFA,31,G,,58,-,-,-,-,-,27,25,4,2.15,.924,,"$6,000,000","$6,000,000"
61. Ben Bishop,Dallas Stars,"M-NTC, NMC",UFA,30,G,,61,-,-,-,-,-,35,21,6,2.06,.926,,"$5,950,000","$5,950,000"
62. Kari Lehtonen,Chicago Blackhawks,M-NTC,UFA,33,G,,43,-,-,-,-,-,25,10,2,2.76,.906,,"$6,000,000","$5,900,000"
63. Patrick Sharp,Colorado Avalanche,"M-NTC, NMC",UFA,35,"LW, C",,76,20,35,55,-3,17:37,-,-,-,-,-,,"$5,500,000","$5,900,000"
64. Semyon Varlamov,Los Angeles Kings,,UFA,29,G,,57,-,-,-,-,-,27,25,2,2.81,.914,,"$6,000,000","$5,900,000"
65. Dustin Brown,Columbus Blue Jackets,M-NTC,UFA,32,"RW, LW",,82,11,17,28,-5,16:10,-,-,-,-,-,,"$7,250,000","$5,875,000"
66. Brandon Dubinsky,Tampa Bay Lightning,NMC,UFA,31,"C, LW",,75,17,31,48,-16,18:45,-,-,-,-,-,,"$5,850,000","$5,850,000"
67. Ryan Callahan,Los Angeles Kings,NMC,UFA,32,RW,,73,10,18,28,-5,17:14,-,-,-,-,-,,"$6,400,000","$5,800,000"
68. Jonathan Quick,St. Louis Blues,,UFA,31,G,,68,-,-,-,-,-,40,23,5,2.22,.918,,"$7,000,000","$5,800,000"
69. Alexander Steen,Chicago Blackhawks,NTC,UFA,33,"LW, C",,67,17,35,52,3,20:22,-,-,-,-,-,,"$5,800,000","$5,800,000"
70. Brent Seabrook,San Jose Sharks,NMC,UFA,32,D,,81,14,35,49,6,22:49,-,-,-,-,-,,"$5,000,000","$5,800,000"
71. Brent Burns,Winnipeg Jets,M-NTC,UFA,32,"D, RW",,82,27,48,75,-5,25:51,-,-,-,-,-,,"$5,760,000","$5,760,000"
72. Toby Enstrom,Vegas Golden Knights,NMC,UFA,32,D,,72,2,14,16,8,20:51,-,-,-,-,-,,"$5,750,000","$5,750,000"
73. Marc-Andre Fleury,Dallas Stars,"M-NTC, NMC",UFA,32,G,,58,-,-,-,-,-,35,17,5,2.29,.921,,"$5,750,000","$5,750,000"
74. Tyler Seguin,Washington Capitals,,UFA,25,"C, RW",,72,33,40,73,2,19:26,-,-,-,-,-,,"$6,000,000","$5,750,000"
75. Matt Niskanen,Calgary Flames,M-NTC,UFA,30,D,,82,5,27,32,10,24:39,-,-,-,-,-,,"$5,750,000","$5,750,000"
76. Dougie Hamilton,New Jersey Devils,,UFA,24,D,,82,12,31,43,-14,19:46,-,-,-,-,-,,"$5,500,000","$5,750,000"
77. Travis Zajac,Carolina Hurricanes,NTC,UFA,32,C,,74,14,28,42,3,19:51,-,-,-,-,-,,"$6,500,000","$5,750,000"
78. Jeff Skinner,New York Rangers,,UFA,25,"LW, RW",,82,28,23,51,-2,16:17,-,-,-,-,-,,"$6,000,000","$5,725,000"
79. Marc Staal,Calgary Flames,NMC,UFA,30,D,,77,2,13,15,2,19:40,-,-,-,-,-,,"$7,000,000","$5,700,000"
80. Mike Smith,Winnipeg Jets,NMC,UFA,35,G,,32,-,-,-,-,-,15,13,3,2.64,.916,,"$6,500,000","$5,666,667"
81. Blake Wheeler,Buffalo Sabres,M-NTC,UFA,30,RW,,82,26,52,78,8,19:47,-,-,-,-,-,,"$5,800,000","$5,600,000"
82. Jason Pominville,Colorado Avalanche,NMC,UFA,34,RW,,75,11,25,36,10,16:21,-,-,-,-,-,,"$5,750,000","$5,600,000"
83. Gabriel Landeskog,Chicago Blackhawks,,UFA,24,LW,,75,20,33,53,-5,18:55,-,-,-,-,-,,"$4,500,000","$5,571,429"
84. Duncan Keith,Edmonton Oilers,NMC,UFA,34,D,,67,9,34,43,13,25:14,-,-,-,-,-,,"$7,500,000","$5,538,462"
85. Andrej Sekera,Montreal Canadiens,NMC,UFA,31,D,,81,6,24,30,-15,21:50,-,-,-,-,-,,"$6,500,000","$5,500,000"
86. Jeff Petry,Winnipeg Jets,NMC,UFA,29,D,,51,5,11,16,-6,21:21,-,-,-,-,-,,"$7,000,000","$5,500,000"
87. Tyler Myers,Tampa Bay Lightning,,UFA,27,D,,73,9,18,27,6,22:37,-,-,-,-,-,,"$5,000,000","$5,500,000"
88. Dan Girardi,Columbus Blue Jackets,NMC,UFA,33,D,,74,2,15,17,18,20:19,-,-,-,-,-,,"$7,000,000","$5,500,000"
89. Nick Foligno,Washington Capitals,NMC,UFA,29,"LW, RW",,72,12,25,37,-14,16:53,-,-,-,-,-,,"$5,500,000","$5,500,000"
90. Brooks Orpik,Arizona Coyotes,,UFA,36,D,,41,3,7,10,11,19:48,-,-,-,-,-,,"$5,500,000","$5,500,000"
91. Dave Bolland,Arizona Coyotes,NMC,UFA,31,C,,25,1,4,5,-2,14:05,-,-,-,-,-,,"$5,500,000","$5,500,000"
92. Oliver Ekman-Larsson,New York Islanders,,UFA,26,D,,75,21,34,55,-6,24:46,-,-,-,-,-,,"$6,000,000","$5,500,000"
93. John Tavares,New York Islanders,,UFA,26,C,,78,33,37,70,6,19:59,-,-,-,-,-,,"$6,000,000","$5,500,000"
94. Nick Leddy,St. Louis Blues,,UFA,26,D,,81,5,35,40,-9,22:37,-,-,-,-,-,,"$4,000,000","$5,500,000"
95. Jay Bouwmeester,Florida Panthers,NTC,UFA,33,D,,72,3,16,19,-4,23:06,-,-,-,-,-,,"$5,600,000","$5,400,000"
96. Roberto Luongo,Toronto Maple Leafs,M-NTC,UFA,38,G,,62,-,-,-,-,-,35,19,4,2.35,.922,,"$6,714,000","$5,333,333"
97. Jarome Iginla,Detroit Red Wings,NMC,UFA,40,RW,,82,22,25,47,-22,15:51,-,-,-,-,-,,"$5,500,000","$5,333,333"
98. Nathan Horton,Chicago Blackhawks,NMC,UFA,32,RW,,0,0,0,0,0,,-,-,-,-,-,,"$6,000,000","$5,300,000"
99. Shane Doan,Los Angeles Kings,NMC,UFA,40,"RW, LW",,72,28,19,47,4,17:35,-,-,-,-,-,,"$4,550,000","$5,300,000"
100. Jimmy Howard,Vegas Golden Knights,M-NTC,UFA,33,G,,37,-,-,-,-,-,14,14,2,2.80,.906,,"$5,500,000","$5,291,667"
101. Marian Hossa,Toronto Maple Leafs,NMC,UFA,38,RW,,64,13,20,33,10,17:15,-,-,-,-,-,,"$7,900,000","$5,275,000"
102. Jeff Carter,Dallas Stars,,UFA,32,"C, RW",,77,24,38,62,18,18:23,-,-,-,-,-,,"$7,000,000","$5,272,727"
103. David Clarkson,Florida Panthers,"M-NTC, NMC",UFA,33,RW,,23,2,2,4,-8,09:13,-,-,-,-,-,,"$5,500,000","$5,250,000"
104. Joffrey Lupul,Montreal Canadiens,M-NTC,UFA,33,"LW, RW",,46,11,3,14,-10,14:37,-,-,-,-,-,,"$6,750,000","$5,250,000"
105. Jamie Benn,Buffalo Sabres,,UFA,28,LW,,82,41,48,89,7,20:01,-,-,-,-,-,,"$5,750,000","$5,250,000"
106. Dennis Wideman,Winnipeg Jets,NMC,UFA,34,D,,51,2,17,19,-9,20:36,-,-,-,-,-,,"$5,250,000","$5,250,000"
107. Keith Yandle,Buffalo Sabres,,UFA,30,D,,82,5,42,47,-4,19:57,-,-,-,-,-,,"$5,750,000","$5,250,000"
108. Mark Streit,Anaheim Ducks,M-NTC,UFA,39,D,,62,6,17,23,-1,21:52,-,-,-,-,-,,"$5,750,000","$5,250,000"
109. Evander Kane,Philadelphia Flyers,,UFA,25,LW,,65,20,15,35,-14,21:02,-,-,-,-,-,,"$6,000,000","$5,250,000"
110. Dustin Byfuglien,Ottawa Senators,NMC,UFA,32,"D, RW",,81,19,34,53,4,25:12,-,-,-,-,-,,"$6,000,000","$5,200,000"
111. Zach Bogosian,Florida Panthers,,UFA,27,D,,64,7,17,24,-11,22:20,-,-,-,-,-,,"$5,250,000","$5,142,857"
112. Ryan Kesler,Vancouver Canucks,NTC,UFA,32,"C, RW",,79,21,32,53,5,19:31,-,-,-,-,-,,"$5,000,000","$5,000,000"
113. Valtteri Filppula,Philadelphia Flyers,"M-NTC, NMC",UFA,33,"C, LW",,76,8,23,31,-6,18:15,-,-,-,-,-,,"$6,000,000","$5,000,000"
114. Derick Brassard,Vegas Golden Knights,M-NTC,UFA,29,C,,80,27,31,58,12,17:53,-,-,-,-,-,,"$6,000,000","$5,000,000"
115. Radim Vrbata,Montreal Canadiens,M-NTC,UFA,36,RW,,63,13,14,27,-30,16:02,-,-,-,-,-,,"$5,000,000","$5,000,000"
116. Alexander Edler,Buffalo Sabres,NTC,UFA,31,D,,52,6,14,20,-8,24:27,-,-,-,-,-,,"$6,000,000","$5,000,000"
117. Andrew MacDonald,Vegas Golden Knights,,UFA,30,D,,28,1,7,8,10,20:07,-,-,-,-,-,,"$4,500,000","$5,000,000"
118. James Neal,Los Angeles Kings,M-NTC,UFA,29,"LW, RW",,82,31,27,58,27,19:04,-,-,-,-,-,,"$5,000,000","$5,000,000"
119. Tomas Plekanec,New Jersey Devils,M-NTC,UFA,34,C,,82,14,40,54,4,18:31,-,-,-,-,-,,"$5,000,000","$5,000,000"
120. Matt Moulson,Dallas Stars,M-NTC,UFA,33,LW,,81,8,13,21,-5,11:54,-,-,-,-,-,,"$6,000,000","$5,000,000"
121. Mikhail Grabovski,Los Angeles Kings,,UFA,33,"C, RW",,58,9,16,25,3,14:06,-,-,-,-,-,,"$5,000,000","$5,000,000"
122. Mike Cammalleri,New Jersey Devils,NTC,UFA,35,"LW, C",,42,14,24,38,15,19:16,-,-,-,-,-,,"$5,000,000","$5,000,000"
123. Andy Greene,San Jose Sharks,NTC,UFA,34,D,,82,4,9,13,7,22:57,-,-,-,-,-,,"$5,000,000","$5,000,000"
124. Marc Methot,Carolina Hurricanes,M-NTC,UFA,32,D,,69,5,7,12,12,20:39,-,-,-,-,-,,"$4,900,000","$4,900,000"
125. Marian Gaborik,Vancouver Canucks,,UFA,35,RW,,54,12,10,22,-6,14:56,-,-,-,-,-,,"$6,075,000","$4,875,000"
126. Ryane Clowe,Nashville Predators,NMC,UFA,34,"LW, RW",,0,0,0,0,0,,-,-,-,-,-,,"$4,850,000","$4,850,000"
127. Paul Martin,Colorado Avalanche,M-NTC,UFA,36,D,,78,3,17,20,13,20:43,-,-,-,-,-,,"$5,750,000","$4,850,000"
128. Justin Faulk,Detroit Red Wings,,UFA,25,D,,64,16,21,37,-22,24:02,-,-,-,-,-,,"$3,500,000","$4,833,333"
129. Sam Gagner,Detroit Red Wings,,UFA,27,"C, RW",,53,8,8,16,4,13:51,-,-,-,-,-,,"$5,000,000","$4,800,000"
130. Scott Hartnell,Winnipeg Jets,NMC,UFA,35,LW,,79,23,26,49,-11,15:35,-,-,-,-,-,,"$5,000,000","$4,750,000"
131. Carl Soderberg,New York Rangers,NTC,UFA,31,"C, LW",,82,12,39,51,-7,18:00,-,-,-,-,-,,"$5,000,000","$4,750,000"
132. Niklas Kronwall,Calgary Flames,NTC,UFA,36,D,,64,3,23,26,-21,22:00,-,-,-,-,-,,"$6,000,000","$4,750,000"
133. Gustav Nyquist,Ottawa Senators,,UFA,27,"RW, C, LW",,82,17,26,43,-2,15:10,-,-,-,-,-,,"$4,000,000","$4,750,000"
134. Bryan Little,Vegas Golden Knights,M-NTC,UFA,29,"C, RW",,57,17,25,42,-13,19:35,-,-,-,-,-,,"$4,750,000","$4,700,000"
135. Ryan McDonagh,Arizona Coyotes,,UFA,28,D,,73,9,25,34,26,22:21,-,-,-,-,-,,"$4,500,000","$4,700,000"
136. TJ Brodie,Anaheim Ducks,,UFA,27,D,,70,6,39,45,4,25:15,-,-,-,-,-,,"$3,900,000","$4,650,400"
137. Clarke MacArthur,Dallas Stars,M-NTC,UFA,32,LW,,4,0,0,0,-1,10:51,-,-,-,-,-,,"$4,500,000","$4,650,000"
138. Jason Garrison,Minnesota Wild,NTC,UFA,32,D,,72,5,6,11,-4,18:27,-,-,-,-,-,,"$4,500,000","$4,600,000"
139. Alex Goligoski,Tampa Bay Lightning,M-NTC,UFA,31,D,,82,5,32,37,21,23:50,-,-,-,-,-,,"$4,800,000","$4,600,000"
140. Kevin Bieksa,Tampa Bay Lightning,NTC,UFA,36,D,,71,4,11,15,-7,21:00,-,-,-,-,-,,"$2,500,000","$4,600,000"
141. R.J. Umberger,New York Rangers,"M-NTC, NMC",UFA,35,C,,39,2,9,11,1,10:09,-,-,-,-,-,,"$4,500,000","$4,600,000"
142. Tyler Ennis,Boston Bruins,,UFA,27,"C, LW, RW",,23,3,8,11,-9,18:04,-,-,-,-,-,,"$4,750,000","$4,600,000"
143. Francois Beauchemin,Ottawa Senators,NMC,UFA,37,D,,82,8,26,34,-7,25:04,-,-,-,-,-,,"$4,500,000","$4,500,000"
144. Anton Stralman,Dallas Stars,NTC,UFA,30,D,,73,9,25,34,16,22:04,-,-,-,-,-,,"$4,500,000","$4,500,000"
145. Braydon Coburn,Pittsburgh Penguins,NTC,UFA,32,D,,80,1,9,10,12,16:45,-,-,-,-,-,,"$4,000,000","$4,500,000"
146. Teddy Purcell,Montreal Canadiens,,UFA,31,"RW, LW",,76,14,29,43,-11,17:26,-,-,-,-,-,,"$4,500,000","$4,500,000"
147. Mats Zuccarello,Boston Bruins,NTC,UFA,29,"RW, LW",,81,26,35,61,2,18:28,-,-,-,-,-,,"$4,500,000","$4,500,000"
148. Fedor Tyutin,New York Islanders,"M-NTC, NMC",UFA,34,D,,61,1,2,3,-6,17:35,-,-,-,-,-,,"$5,000,000","$4,500,000"
149. Brooks Laich,Vancouver Canucks,,UFA,34,"C, LW",,81,2,12,14,-13,13:58,-,-,-,-,-,,"$4,000,000","$4,500,000"
150. David Backes,New York Islanders,NTC,UFA,33,"C, RW",,79,21,24,45,4,19:13,-,-,-,-,-,,"$4,750,000","$4,500,000"
151. Alexandre Burrows,Calgary Flames,NTC,UFA,36,"RW, LW",,79,9,13,22,-13,15:10,-,-,-,-,-,,"$4,000,000","$4,500,000"
152. Dan Hamhuis,Columbus Blue Jackets,NTC,UFA,34,D,,58,3,10,13,-2,21:24,-,-,-,-,-,,"$4,250,000","$4,500,000"
153. Antti Niemi,Winnipeg Jets,NTC,UFA,33,G,,48,-,-,-,-,-,25,13,3,2.67,.905,,"$4,500,000","$4,500,000"
154. Max Pacioretty,Minnesota Wild,,UFA,28,LW,,82,30,34,64,-10,18:31,-,-,-,-,-,,"$4,000,000","$4,500,000"
155. Brad Marchand,Calgary Flames,M-NTC,UFA,29,LW,,77,37,24,61,21,18:36,-,-,-,-,-,,"$4,500,000","$4,500,000"
156. Jaroslav Halak,Toronto Maple Leafs,,UFA,32,G,,36,-,-,-,-,-,18,13,3,2.30,.919,,"$4,750,000","$4,500,000"
157. Christopher Tanev,Pittsburgh Penguins,,UFA,27,D,,69,4,14,18,-8,21:45,-,-,-,-,-,,"$3,500,000","$4,450,000"
158. Andrew Ladd,Dallas Stars,M-NTC,UFA,31,LW,,78,25,21,46,-13,17:14,-,-,-,-,-,,"$4,500,000","$4,400,000"
159. Kris Versteeg,New York Rangers,,UFA,31,"LW, RW",,77,15,23,38,0,16:23,-,-,-,-,-,,"$4,700,000","$4,400,000"
160. Mike Fisher,Philadelphia Flyers,NMC,UFA,37,C,,70,13,10,23,-14,17:09,-,-,-,-,-,,"$4,800,000","$4,400,000"
161. Jack Johnson,San Jose Sharks,,UFA,30,D,,60,6,8,14,-16,24:10,-,-,-,-,-,,"$5,000,000","$4,357,143"
162. Drew Stafford,Nashville Predators,,UFA,31,"RW, LW",,78,21,17,38,-23,17:52,-,-,-,-,-,,"$4,350,000","$4,350,000"
163. Dmitry Kulikov,Vancouver Canucks,,UFA,26,D,,74,1,16,17,8,21:02,-,-,-,-,-,,"$4,500,000","$4,333,333"
164. Devan Dubnyk,Detroit Red Wings,M-NTC,UFA,31,G,,67,-,-,-,-,-,32,26,5,2.33,.918,,"$5,000,000","$4,333,333"
165. Michael Frolik,Minnesota Wild,M-NTC,UFA,29,"RW, C",,64,15,17,32,1,15:48,-,-,-,-,-,,"$5,500,000","$4,300,000"
166. James Van Riemsdyk,Ottawa Senators,,UFA,28,LW,,40,14,15,29,3,17:45,-,-,-,-,-,,"$4,750,000","$4,250,000"
167. Patric Hornqvist,Toronto Maple Leafs,M-NTC,UFA,30,RW,,82,22,29,51,15,16:50,-,-,-,-,-,,"$4,250,000","$4,250,000"
168. John Klingberg,New York Islanders,,UFA,24,D,,76,10,48,58,22,22:41,-,-,-,-,-,,"$2,250,000","$4,250,000"
169. Kevin Shattenkirk,Washington Capitals,,UFA,28,D,,72,14,30,44,-14,22:25,-,-,-,-,-,,"$4,300,000","$4,250,000"
170. Jakub Voracek,Minnesota Wild,,UFA,27,RW,,73,11,44,55,-5,18:35,-,-,-,-,-,,"$4,500,000","$4,250,000"
171. Marc-Edouard Vlasic,Edmonton Oilers,NTC,UFA,30,D,,67,8,31,39,15,23:07,-,-,-,-,-,,"$4,250,000","$4,250,000"
172. Craig Smith,Colorado Avalanche,,UFA,27,"C, RW",,82,21,16,37,4,15:11,-,-,-,-,-,,"$3,750,000","$4,250,000"
173. Loui Eriksson,Toronto Maple Leafs,M-NTC,UFA,32,"RW, LW",,82,30,33,63,13,19:28,-,-,-,-,-,,"$4,500,000","$4,250,000"
174. Brian Gionta,Arizona Coyotes,NTC,UFA,38,RW,,79,12,21,33,-5,17:43,-,-,-,-,-,,"$4,250,000","$4,250,000"
175. Jonathan Ericsson,Florida Panthers,NTC,UFA,33,D,,71,3,12,15,2,18:32,-,-,-,-,-,,"$4,250,000","$4,250,000"
176. Kyle Quincey,Winnipeg Jets,,UFA,31,D,,47,4,7,11,1,19:45,-,-,-,-,-,,"$4,250,000","$4,250,000"
177. Craig Anderson,Nashville Predators,,UFA,36,G,,60,-,-,-,-,-,31,23,4,2.78,.916,,"$4,750,000","$4,200,000"
178. Tyler Bozak,Toronto Maple Leafs,M-NTC,UFA,31,C,,57,12,23,35,-9,17:20,-,-,-,-,-,,"$5,000,000","$4,200,000"
179. Nikolai Kulemin,Calgary Flames,,UFA,31,"LW, RW",,81,9,13,22,13,14:03,-,-,-,-,-,,"$4,250,000","$4,187,500"
180. T.J. Oshie,Anaheim Ducks,,UFA,30,RW,,80,26,25,51,16,18:57,-,-,-,-,-,,"$4,500,000","$4,175,000"
181. Jonas Brodin,Tampa Bay Lightning,,UFA,24,D,,68,2,5,7,-5,20:25,-,-,-,-,-,,"$2,500,000","$4,166,667"
