PLAYER,TEAM,CLAUSE,EXPIRY,AGE,POS,,GP,G,A,P,+/-,TOI,W,L,SO,GAA,Sv%,,SALARY,CAP HIT ▾
77. Dustin Byfuglien,Vegas Golden Knights,M-NTC,UFA,32,"D, RW",,78,20,36,56,0,,-,-,-,-,-,,"$5,750,000","$5,200,000"
78. Zach Bogosian,Philadelphia Flyers,,UFA,27,D,,55,3,8,11,0,,-,-,-,-,-,,"$4,000,000","$5,142,857"
79. Bobby Ryan,Montreal Canadiens,,UFA,30,"RW, LW",,70,23,25,48,0,,-,-,-,-,-,,"$5,562,500","$5,100,000"
80. Ryan Kesler,Vancouver Canucks,NTC,UFA,32,"C, RW",,77,25,18,43,0,,-,-,-,-,-,,"$5,000,000","$5,000,000"
81. Marc-Andre Fleury,Buffalo Sabres,"M-NTC, NMC",UFA,32,G,,64,-,-,-,-,-,0,0,0,0.00,.000,,"$5,750,000","$5,000,000"
82. Valtteri Filppula,Vegas Golden Knights,NMC,UFA,33,"C, LW",,75,25,33,58,0,,-,-,-,-,-,,"$4,000,000","$5,000,000"
83. Ales Hemsky,Montreal Canadiens,,UFA,33,RW,,75,13,30,43,0,,-,-,-,-,-,,"$5,500,000","$5,000,000"
84. Alexander Edler,Boston Bruins,NTC,UFA,31,D,,63,7,15,22,0,,-,-,-,-,-,,"$3,250,000","$5,000,000"
85. Ryan O'Reilly,San Jose Sharks,,UFA,26,"C, LW, RW",,80,28,36,64,0,,-,-,-,-,-,,"$6,500,000","$5,000,000"
86. James Neal,New Jersey Devils,,UFA,29,"LW, RW",,59,27,34,61,0,,-,-,-,-,-,,"$5,000,000","$5,000,000"
87. Tomas Plekanec,Vancouver Canucks,M-NTC,UFA,34,C,,81,20,23,43,0,,-,-,-,-,-,,"$5,000,000","$5,000,000"
88. Patrice Bergeron,Nashville Predators,NMC,UFA,32,C,,80,30,32,62,0,,-,-,-,-,-,,"$4,550,000","$5,000,000"
89. Brian Gionta,Detroit Red Wings,NTC,UFA,38,RW,,81,18,22,40,0,,-,-,-,-,-,,"$5,000,000","$5,000,000"
90. Paul Martin,Winnipeg Jets,"M-NTC, NMC",UFA,36,D,,39,3,12,15,0,,-,-,-,-,-,,"$5,000,000","$5,000,000"
91. Ryane Clowe,New York Rangers,NMC,UFA,34,"LW, RW",,43,7,19,26,0,,-,-,-,-,-,,"$4,850,000","$4,850,000"
92. Sam Gagner,Vegas Golden Knights,,UFA,27,"C, RW",,67,10,27,37,0,,-,-,-,-,-,,"$4,400,000","$4,800,000"
93. Scott Hartnell,Arizona Coyotes,NMC,UFA,35,LW,,78,20,32,52,0,,-,-,-,-,-,,"$6,000,000","$4,750,000"
94. Niklas Kronwall,Anaheim Ducks,NTC,UFA,36,D,,79,8,41,49,0,,-,-,-,-,-,,"$6,000,000","$4,750,000"
95. Bryan Little,Dallas Stars,,UFA,29,"C, RW",,82,23,41,64,0,,-,-,-,-,-,,"$4,000,000","$4,700,000"
96. Ryan McDonagh,Tampa Bay Lightning,,UFA,28,D,,77,14,29,43,0,,-,-,-,-,-,,"$4,000,000","$4,700,000"
97. Jason Garrison,Boston Bruins,NTC,UFA,32,D,,81,7,26,33,0,,-,-,-,-,-,,"$6,500,000","$4,600,000"
98. Alex Goligoski,Ottawa Senators,M-NTC,UFA,31,D,,81,6,36,42,0,,-,-,-,-,-,,"$4,600,000","$4,600,000"
99. Kevin Bieksa,Dallas Stars,NTC,UFA,36,D,,76,4,20,24,0,,-,-,-,-,-,,"$5,000,000","$4,600,000"
100. R.J. Umberger,Montreal Canadiens,"NTC, NMC",UFA,35,C,,74,18,16,34,0,,-,-,-,-,-,,"$4,500,000","$4,600,000"
101. Tomas Fleischmann,Boston Bruins,"M-NTC, NMC",UFA,33,LW,,80,8,20,28,0,,-,-,-,-,-,,"$4,500,000","$4,500,000"
102. Braydon Coburn,New York Islanders,M-NTC,UFA,32,D,,82,5,12,17,0,,-,-,-,-,-,,"$5,500,000","$4,500,000"
103. Teddy Purcell,Calgary Flames,,UFA,31,"RW, LW",,81,12,30,42,0,,-,-,-,-,-,,"$4,500,000","$4,500,000"
104. Fedor Tyutin,Columbus Blue Jackets,"M-NTC, NMC",UFA,34,D,,69,4,22,26,0,,-,-,-,-,-,,"$4,500,000","$4,500,000"
105. Brooks Laich,Tampa Bay Lightning,M-NTC,UFA,34,"C, LW",,51,8,7,15,0,,-,-,-,-,-,,"$4,000,000","$4,500,000"
106. David Backes,Toronto Maple Leafs,NTC,UFA,33,"C, RW",,74,27,30,57,0,,-,-,-,-,-,,"$4,750,000","$4,500,000"
107. Alexandre Burrows,Pittsburgh Penguins,NTC,UFA,36,"RW, LW",,49,5,10,15,0,,-,-,-,-,-,,"$6,000,000","$4,500,000"
108. Dan Hamhuis,New York Rangers,NTC,UFA,34,D,,79,5,17,22,0,,-,-,-,-,-,,"$4,250,000","$4,500,000"
109. Max Pacioretty,Philadelphia Flyers,,UFA,28,LW,,73,39,21,60,0,,-,-,-,-,-,,"$4,000,000","$4,500,000"
110. Brad Marchand,San Jose Sharks,,UFA,29,LW,,82,25,28,53,0,,-,-,-,-,-,,"$4,000,000","$4,500,000"
111. Erik Cole,Vancouver Canucks,NTC,UFA,38,LW,,75,16,13,29,0,,-,-,-,-,-,,"$4,000,000","$4,500,000"
112. Andrew Ladd,Toronto Maple Leafs,M-NTC,UFA,31,LW,,78,23,31,54,0,,-,-,-,-,-,,"$4,500,000","$4,400,000"
113. Kris Versteeg,Columbus Blue Jackets,,UFA,31,"LW, RW",,81,12,24,36,0,,-,-,-,-,-,,"$4,600,000","$4,400,000"
114. Jack Johnson,Washington Capitals,,UFA,30,D,,82,5,28,33,0,,-,-,-,-,-,,"$3,500,000","$4,357,143"
115. Milan Michalek,Minnesota Wild,,UFA,32,"LW, RW",,82,17,22,39,0,,-,-,-,-,-,,"$6,000,000","$4,333,333"
116. Ryan Callahan,Calgary Flames,,UFA,32,RW,,65,17,19,36,0,,-,-,-,-,-,,"$4,825,000","$4,275,000"
